task_id,dataset_id,name,n_instances,n_classes,n_test_est,in_tabzilla_hard_unverified,w_blocks
9910,4134,Bioresponse,3751,2,750,True,30
167124,40927,CIFAR_10,60000,10,12000,False,40
167121,40923,Devnagari-Script,92000,46,18400,False,40
146825,40996,Fashion-MNIST,70000,10,14000,False,40
14969,4538,GesturePhaseSegmentationProcessed,9873,5,1975,True,40
167125,40978,Internet-Advertisements,3279,2,656,False,26
146800,40966,MiceProtein,1080,8,216,False,10
14952,4534,PhishingWebsites,11055,2,2211,False,40
7592,1590,adult,48842,2,9768,False,40
3549,458,analcatdata_authorship,841,4,168,False,10
3560,469,analcatdata_dmft,797,6,159,False,10
11,11,balance-scale,625,3,125,True,10
14965,1461,bank-marketing,45211,2,9042,False,40
10093,1462,banknote-authentication,1372,2,274,False,10
10101,1464,blood-transfusion-service-center,748,2,150,False,10
15,15,breast-w,699,2,140,False,10
146821,40975,car,1728,4,346,False,13
167141,40701,churn,5000,2,1000,False,40
146819,40994,climate-model-simulation-crashes,540,2,108,False,10
23,23,cmc,1473,3,295,False,11
9981,1468,cnae-9,1080,9,216,True,10
146195,40668,connect-4,67557,3,13511,False,40
29,29,credit-approval,690,2,138,True,10
31,31,credit-g,1000,2,200,True,10
14954,6332,cylinder-bands,540,2,108,False,10
37,37,diabetes,768,2,154,False,10
167140,40670,dna,3186,3,637,False,25
125920,23381,dresses-sales,500,2,100,False,10
219,151,electricity,45312,2,9062,True,40
2079,188,eucalyptus,736,5,147,False,10
9985,1475,first-order-theorem-proving,6118,6,1224,False,40
14970,1478,har,10299,6,2060,False,40
9971,1480,ilpd,583,2,117,False,10
3481,300,isolet,7797,26,1559,False,40
3904,1053,jm1,10885,2,2177,False,40
167119,41027,jungle_chess_2pcs_raw_endgame_complete,44819,3,8964,True,40
3917,1067,kc1,2109,2,422,True,16
3913,1063,kc2,522,2,104,False,10
3,3,kr-vs-kp,3196,2,639,False,25
6,6,letter,20000,26,4000,False,40
9976,1485,madelon,2600,2,520,False,20
12,12,mfeat-factors,2000,10,400,False,16
14,14,mfeat-fourier,2000,10,400,True,16
16,16,mfeat-karhunen,2000,10,400,False,16
18,18,mfeat-morphological,2000,10,400,False,16
146824,40979,mfeat-pixel,2000,10,400,False,16
22,22,mfeat-zernike,2000,10,400,True,16
3573,554,mnist_784,70000,10,14000,False,40
9977,1486,nomao,34465,2,6893,True,40
167120,23517,numerai28.6,96320,2,19264,False,40
28,28,optdigits,5620,10,1124,False,40
9978,1487,ozone-level-8hr,2534,2,507,False,20
3918,1068,pc1,1109,2,222,False,10
3903,1050,pc3,1563,2,313,False,12
3902,1049,pc4,1458,2,292,False,11
32,32,pendigits,10992,10,2198,False,40
9952,1489,phoneme,5404,2,1081,True,40
9957,1494,qsar-biodeg,1055,2,211,False,10
2074,182,satimage,6430,6,1286,False,40
146822,40984,segment,2310,7,462,False,18
9964,1501,semeion,1593,10,319,False,12
3021,38,sick,3772,2,754,False,30
43,44,spambase,4601,2,920,False,36
45,46,splice,3190,3,638,True,25
146817,40982,steel-plates-fault,1941,7,388,False,15
125922,40499,texture,5500,11,1100,False,40
49,50,tic-tac-toe,958,2,192,False,10
53,54,vehicle,846,4,169,True,10
3022,307,vowel,990,11,198,False,10
9960,1497,wall-robot-navigation,5456,4,1091,False,40
9946,1510,wdbc,569,2,114,False,10
146820,40983,wilt,4839,2,968,False,38
