task_id,dataset_id,name,n_instances,n_classes,n_test_est,in_tabzilla_hard_unverified,w_blocks
7592,1590,adult,48842,2,9768,False,40
14965,1461,bank-marketing,45211,2,9042,False,40
146821,40975,car,1728,4,346,False,13
23,23,cmc,1473,3,295,False,11
146195,40668,connect-4,67557,3,13511,False,40
167140,40670,dna,3186,3,637,False,25
9985,1475,first-order-theorem-proving,6118,6,1224,False,40
3904,1053,jm1,10885,2,2177,False,40
167119,41027,jungle_chess_2pcs_raw_endgame_complete,44819,3,8964,True,40
3917,1067,kc1,2109,2,422,True,16
3,3,kr-vs-kp,3196,2,639,False,25
9977,1486,nomao,34465,2,6893,True,40
3903,1050,pc3,1563,2,313,False,12
3902,1049,pc4,1458,2,292,False,11
3021,38,sick,3772,2,754,False,30
43,44,spambase,4601,2,920,False,36
146817,40982,steel-plates-fault,1941,7,388,False,15
