task_id,n_test,flip_rate_pct,flip_rate_min_seed_pct,flip_rate_max_seed_pct,n_examples_ever_flipped,name,balanced_error_seed_share,cross_entropy_seed_share
146195,6756,13.18,12.54,14.08,2351,connect-4,0.0,94.9
14965,4522,4.83,4.18,5.24,591,bank-marketing,0.0,46.0
167140,319,4.2,3.45,6.58,45,dna,0.0,63.4
3903,157,13.38,9.55,19.11,47,pc3,0.0,45.0
3,320,0.38,0.0,0.94,5,kr-vs-kp,0.0,0.0
43,461,2.82,2.39,3.47,29,spambase,0.0,36.7
3021,378,3.92,1.85,5.56,34,sick,1.7,30.5
146821,173,0.69,0.0,1.73,4,car,2.0,59.7
3902,146,16.44,10.96,20.55,49,pc4,3.0,50.4
3904,1089,13.94,5.05,16.53,336,jm1,5.3,89.0
9977,3447,2.88,2.7,3.22,263,nomao,14.8,0.0
3917,211,8.91,5.21,14.22,52,kc1,27.3,83.1
7592,4885,5.06,3.62,7.14,658,adult,34.3,97.5
146817,195,22.67,18.97,26.15,79,steel-plates-fault,37.0,38.1
9985,612,29.35,24.18,34.15,368,first-order-theorem-proving,45.2,0.0
23,148,20.0,13.51,27.7,75,cmc,62.3,67.0
167119,4482,7.63,4.91,9.37,867,jungle_chess_2pcs_raw_endgame_complete,94.2,94.6
