task_id,dataset_id,n_test,n_classes,balanced_error_S,balanced_error_W,balanced_error_effect,balanced_error_effect_ci_lo,balanced_error_effect_ci_hi,balanced_error_significant_full_t,balanced_error_seed_share,balanced_error_seed_share_ci_lo,balanced_error_seed_share_ci_hi,balanced_error_seed_share_gt_half,balanced_error_truncated_at_zero,balanced_error_degenerate_zero_variance,cross_entropy_S,cross_entropy_W,cross_entropy_effect,cross_entropy_effect_ci_lo,cross_entropy_effect_ci_hi,cross_entropy_significant_full_t,cross_entropy_seed_share,cross_entropy_seed_share_ci_lo,cross_entropy_seed_share_ci_hi,cross_entropy_seed_share_gt_half,cross_entropy_truncated_at_zero,cross_entropy_degenerate_zero_variance,name
7592,1590,4885,2,5,4885,0.023305687563823507,-0.59554559325772,0.642156968385367,False,34.3,0.0,91.3,False,False,False,5,4885,-0.007762841070933552,-0.03085219690741562,0.015326514765548518,False,97.5,93.2,99.7,True,False,False,adult
14965,1461,4522,2,5,4522,0.6010518407212623,-0.1806892543037556,1.3827929357462803,False,0.0,0.0,70.6,False,True,False,5,4522,0.025120856015449115,0.01690790676191887,0.03333380526897936,True,46.0,0.0,91.9,False,False,False,bank-marketing
146821,40975,173,4,5,173,-0.5085823267641449,-1.3827936618695866,0.36562900834129686,False,2.0,0.0,78.1,False,False,False,5,173,-0.008646703804331708,-0.029603945659850913,0.012310538051187498,False,59.7,0.0,96.0,True,False,False,car
23,23,148,3,5,148,4.360410830999066,-3.0077968700900266,11.72861853208816,False,62.3,9.0,95.0,True,False,False,5,148,0.038196111130654006,-0.05540484219707001,0.13179706445837802,False,67.0,28.9,95.3,True,False,False,cmc
146195,40668,6756,3,5,6756,0.17052828251599733,-0.7117301479011369,1.0527867129331314,False,0.0,0.0,10.8,False,True,False,5,6756,0.013821742702333498,-0.027288593327580723,0.054932078732247716,False,94.9,86.0,99.4,True,False,False,connect-4
167140,40670,319,3,5,319,1.0575041107698053,-0.48890626268054405,2.6039144842201547,False,0.0,0.0,82.1,False,True,False,5,319,0.021792405012259288,-0.01136590643602443,0.054950716460543,False,63.4,0.0,96.1,True,False,False,dna
9985,1475,612,6,5,612,3.847007798713185,0.20082182498718426,7.493193772439186,True,45.2,0.0,92.7,False,False,False,5,612,0.06016082980858734,0.00981415120500874,0.11050750841216594,True,0.0,0.0,72.9,False,True,False,first-order-theorem-proving
3904,1053,1089,2,5,1089,-0.35766336676418903,-3.0889535742412266,2.373626840712849,False,5.3,0.0,74.9,False,False,False,5,1089,-0.0232717224334335,-0.06327782664264311,0.016734381775776117,False,89.0,73.6,98.6,True,False,False,jm1
167119,41027,4482,3,5,4482,3.2115250376015907,0.8578435682652406,5.56520650693794,True,94.2,84.2,99.3,True,False,False,5,4482,0.0882120415776055,0.042720768619586444,0.13370331453562456,True,94.6,85.9,99.3,True,False,False,jungle_chess_2pcs_raw_endgame_complete
3917,1067,211,2,5,211,0.645949720670391,-4.672572045107417,5.964471486448199,False,27.3,0.0,87.3,False,False,False,5,211,0.003189237546440549,-0.0702176297995842,0.07659610489246528,False,83.1,59.7,97.8,True,False,False,kc1
3,3,320,2,5,320,0.1252397166451411,-0.24241686007107954,0.49289629336136176,False,0.0,0.0,86.2,False,True,False,5,320,0.005488030281376268,-0.008991900403463138,0.019967960966215677,False,0.0,0.0,54.5,False,True,False,kr-vs-kp
9977,1486,3447,2,5,3447,0.3881965281284969,-0.10525098746311262,0.8816440437201065,False,14.8,0.0,86.9,False,False,False,5,3447,0.005474997096804126,-0.00377136381166864,0.014721358005276892,False,0.0,0.0,75.9,False,True,False,nomao
3903,1050,157,2,5,157,6.74645390070922,-5.708370452748186,19.201278254166624,False,0.0,0.0,46.8,False,True,False,5,157,0.15295730273277872,0.011384900723865554,0.2945297047416919,True,45.0,7.0,90.2,False,False,False,pc3
3902,1049,146,2,5,146,8.012152777777777,0.7214106835786582,15.302894871976896,True,3.0,0.0,76.1,False,False,False,5,146,0.12428741964100133,-0.018826516532935836,0.2674013558149385,False,50.4,16.5,91.1,True,False,False,pc4
3021,38,378,2,5,378,2.346601347213717,-1.2658989203902054,5.959101614817639,False,1.7,0.0,85.0,False,False,False,5,378,0.0394166630451018,-0.0015776566430697817,0.08041098273327338,False,30.5,0.0,84.9,False,False,False,sick
43,44,461,2,5,461,-0.8097995194769388,-2.5888199271761736,0.969220888222296,False,0.0,0.0,54.9,False,True,False,5,461,-0.020968240759297076,-0.0636232723422038,0.021686790823609657,False,36.7,11.3,85.1,False,False,False,spambase
146817,40982,195,7,5,195,6.977524353293134,-0.843009025185621,14.79805773177189,False,37.0,2.5,87.4,False,False,False,5,195,0.1443436762700096,-0.015926268576241825,0.304613621116261,False,38.1,9.4,86.5,False,False,False,steel-plates-fault
