client,eligible,n_hours,n_test_windows,zero_frac_train,max_flat_run_h,mean,cv,test_std,reason
T1,True,26304,157,0.000163,14,23.2638,1.0371,26.112514,
T2,True,26304,157,0.0,6,112.8856,0.2264,23.75805,
T3,False,26304,157,0.002498,85,16.8216,2.9242,1.447132,плоский прогон 85 ч > 48 ч
T4,True,26304,157,0.000109,3,440.3352,0.3465,146.61567,
T5,True,26304,157,0.000109,3,200.5367,0.3477,70.563687,
T6,True,26304,157,0.000109,3,755.0352,0.3306,239.141429,
T7,True,26304,157,0.000109,8,25.9437,1.0558,28.125313,
T8,True,26304,157,0.000109,2,1022.5493,0.2264,223.834456,
T9,True,26304,157,0.000109,3,214.8673,0.39,66.239129,
T10,True,26304,157,0.000109,3,227.0693,0.45,107.244885,
T11,True,26304,157,0.000109,4,161.1626,0.3022,42.109707,
T12,True,26304,157,0.000109,3,295.7974,0.5529,196.428653,
T13,True,26304,157,0.000109,3,180.6603,0.3966,55.366926,
T14,True,26304,157,0.000109,3,134.1169,0.337,44.300187,
T15,True,26304,157,0.000109,4,198.8641,0.2638,48.7284,
T16,True,26304,157,0.000109,3,983.1076,0.3416,318.28958,
T17,True,26304,157,0.000109,6,35.8227,0.2692,8.912216,
T18,True,26304,157,0.000109,4,165.3678,0.2689,43.718433,
T19,True,26304,157,0.000109,3,651.2642,0.3048,169.535634,
T20,True,26304,157,0.000109,4,111.655,0.4409,54.133459,
T21,True,26304,157,0.000109,23,41.0842,0.3801,18.544725,
T22,True,26304,157,0.000109,3,873.0242,0.3356,276.7285,
T23,True,26304,157,0.000109,4,85.5649,0.3937,31.320922,
T24,True,26304,157,0.000109,4,81.9741,0.3712,32.113354,
T25,True,26304,157,0.000109,3,270.7941,0.3152,83.505934,
T26,True,26304,157,0.000109,3,315.8131,0.3917,131.507965,
T27,True,26304,157,0.000109,3,361.133,0.2823,94.975092,
T28,True,26304,157,0.000109,4,58.2042,0.3076,20.163781,
T29,True,26304,157,0.000109,3,470.5907,0.2696,126.88252,
T30,True,26304,157,0.000109,4,148.227,0.6983,119.083066,
T31,True,26304,157,0.000109,3,446.5604,0.3246,146.435868,
T32,True,26304,157,0.000109,3,481.2851,0.2386,112.122191,
T33,True,26304,157,0.000109,3,400.2776,0.5843,66.95864,
T34,True,26304,157,0.000109,3,171.2981,0.2926,47.187889,
T35,True,26304,157,0.000109,3,4343.9956,0.3125,1154.780485,
T36,True,26304,157,0.000109,4,123.6825,0.3404,43.278316,
T37,True,26304,157,0.000109,3,378.6711,0.5318,185.896238,
T38,True,26304,157,0.000109,3,527.7735,0.3004,147.825027,
T39,True,26304,157,0.000109,4,114.3227,0.312,33.004706,
T40,True,26304,157,0.000109,5,63.5339,0.2899,16.961687,
T41,True,26304,157,0.000109,3,3730.8084,0.2924,1045.377854,
T42,True,26304,157,0.000109,3,661.9542,0.3456,223.137821,
T43,True,26304,157,0.000109,3,223.2611,0.2814,64.897873,
T44,True,26304,157,0.000109,3,144.2,0.2687,34.045527,
T45,True,26304,157,0.000109,3,269.9887,0.4029,106.470768,
T46,True,26304,157,0.000109,4,280.9911,0.2509,65.649348,
T47,True,26304,157,0.000109,5,96.5988,0.4624,28.675486,
T48,True,26304,157,0.000109,3,152.5077,0.2967,43.426094,
T49,True,26304,157,0.000434,23,100.2054,0.5182,45.078038,
T50,True,26304,157,0.000109,3,343.4366,0.345,114.495119,
T51,True,26304,157,0.000109,3,478.8293,0.2431,115.27258,
T52,True,26304,157,0.000109,4,111.852,0.2515,23.943784,
T53,True,26304,157,0.000109,3,304.7091,0.3134,80.228679,
T54,True,26304,157,0.000109,3,241.1766,0.2846,70.370043,
T55,True,26304,157,0.000109,5,92.3837,0.387,35.551109,
T56,True,26304,157,0.000109,23,5650.3898,0.2969,1660.075086,
T57,True,26304,157,0.000109,3,254.0024,0.3043,75.581422,
T58,False,26304,157,0.037526,22,160.7316,0.6679,66.116115,нулей в train 3.753% > 1.0%
T59,True,26304,157,0.000109,4,786.8435,0.336,238.984957,
T60,True,26304,157,0.000109,3,624.2338,0.502,138.24796,
T61,True,26304,157,0.000109,3,648.9757,0.2682,178.812801,
