arch,house,S,W,mean_effect_w,share_seed,share_lo,share_hi,design_free_ratio,truncated_at_zero
bilstm,refit_10,3,81,-8.0739,0.8442,0.5345,0.9957,16.252,0
bilstm,refit_2,3,85,4.2166,0.6638,0.0000,0.9907,5.923,0
bilstm,refit_4,3,88,2.2197,0.7510,0.2742,0.9930,9.047,0
bilstm,refit_6,3,79,-4.3612,0.8766,0.5757,0.9968,21.309,0
bilstm,refit_9,3,78,-6.5423,0.7886,0.3228,0.9943,11.194,0
bilstm,sheerm_1,3,166,0.6962,0.8937,0.6213,0.9973,25.213,0
bilstm,sheerm_10,3,116,-0.0661,0.7147,0.0000,0.9929,7.514,0
bilstm,sheerm_11,3,116,-2.1303,0.0000,0.0000,0.7768,0.000,1
bilstm,sheerm_12,3,116,-0.5572,0.0000,0.0000,0.9476,0.000,1
bilstm,sheerm_13,3,116,1.1550,0.6057,0.0000,0.9900,4.608,0
bilstm,sheerm_2,3,157,-0.7357,0.5641,0.0000,0.9870,3.883,0
bilstm,sheerm_3,3,171,1.5442,0.8424,0.5197,0.9957,16.032,0
bilstm,sheerm_4,3,135,3.7169,0.0000,0.0000,0.8202,0.000,1
bilstm,sheerm_5,3,102,17.2344,0.0000,0.0000,0.8310,0.000,1
bilstm,sheerm_8,3,117,-4.6577,0.5225,0.0019,0.9832,3.282,0
bilstm,sheerm_9,3,116,0.5798,0.7091,0.1026,0.9920,7.314,0
bilstm,ukdale_1,3,218,-0.5374,0.0000,0.0000,0.8122,0.000,1
patchtst,refit_10,3,81,20.6125,0.4544,0.0488,0.9767,2.498,0
patchtst,refit_2,3,85,-28.6107,0.0000,0.0000,0.7545,0.000,1
patchtst,refit_4,3,88,3.3674,0.1099,0.0000,0.9455,0.370,0
patchtst,refit_6,3,79,15.1732,0.0000,0.0000,0.2738,0.000,1
patchtst,refit_9,3,78,4.9756,0.0000,0.0000,0.7942,0.000,1
patchtst,sheerm_1,3,166,-12.5155,0.7008,0.1521,0.9915,7.026,0
patchtst,sheerm_10,3,116,-2.6349,0.0000,0.0000,0.8239,0.000,1
patchtst,sheerm_11,3,116,-2.3373,0.5623,0.0000,0.9867,3.853,0
patchtst,sheerm_12,3,116,-2.7421,0.0000,0.0000,0.9484,0.000,1
patchtst,sheerm_13,3,116,-0.4871,0.5471,0.0000,0.9850,3.623,0
patchtst,sheerm_2,3,157,-2.6857,0.9236,0.7398,0.9980,36.271,0
patchtst,sheerm_3,3,171,0.0565,0.1644,0.0000,0.9518,0.590,0
patchtst,sheerm_4,3,135,8.9664,0.4404,0.0226,0.9762,2.361,0
patchtst,sheerm_5,3,102,14.7465,0.2920,0.0000,0.9630,1.238,0
patchtst,sheerm_8,3,117,-5.2103,0.5751,0.0110,0.9863,4.060,0
patchtst,sheerm_9,3,116,0.5417,0.7210,0.1963,0.9921,7.754,0
patchtst,ukdale_1,3,218,-5.5517,0.6976,0.2159,0.9909,6.922,0
