arch,house,S,W,mean_effect_w,share_seed,share_lo,share_hi,design_free_ratio,truncated_at_zero
bilstm,refit_10,5,81,8.6916,0.9636,0.8926,0.9957,132.353,0
bilstm,refit_2,5,85,7.1116,0.6391,0.0174,0.9556,8.855,0
bilstm,refit_4,5,88,2.0085,0.5126,0.1356,0.9176,5.260,0
bilstm,refit_6,5,79,-3.7329,0.7362,0.3832,0.9646,13.954,0
bilstm,refit_9,5,78,-10.9868,0.7386,0.2977,0.9676,14.128,0
bilstm,sheerm_1,5,166,7.8501,0.7809,0.4762,0.9711,17.822,0
bilstm,sheerm_10,5,116,-0.1056,0.4781,0.0000,0.9266,4.580,0
bilstm,sheerm_11,5,116,-1.4382,0.4100,0.0000,0.9235,3.474,0
bilstm,sheerm_12,5,116,-0.6556,0.0000,0.0000,0.7374,0.000,1
bilstm,sheerm_13,5,116,0.6945,0.4620,0.0000,0.9229,4.294,0
bilstm,sheerm_2,5,157,-0.4089,0.6913,0.3418,0.9559,11.196,0
bilstm,sheerm_3,5,171,2.0035,0.7056,0.4232,0.9549,11.985,0
bilstm,sheerm_4,5,135,10.7293,0.8424,0.5730,0.9806,26.726,0
bilstm,sheerm_5,5,102,0.2908,0.6020,0.3004,0.9321,7.562,0
bilstm,sheerm_8,5,117,-4.1699,0.3539,0.0000,0.8782,2.738,0
bilstm,sheerm_9,5,116,-0.3264,0.7122,0.3709,0.9596,12.372,0
bilstm,ukdale_1,5,218,0.9543,0.8108,0.5638,0.9744,21.421,0
patchtst,refit_10,5,81,17.8529,0.2857,0.0862,0.7935,2.000,0
patchtst,refit_2,5,85,-29.1276,0.0000,0.0000,0.3476,0.000,1
patchtst,refit_4,5,88,3.1035,0.0888,0.0041,0.5345,0.487,0
patchtst,refit_6,5,79,15.3334,0.0000,0.0000,0.0326,0.000,1
patchtst,refit_9,5,78,4.1451,0.3638,0.1025,0.8513,2.859,0
patchtst,sheerm_1,5,166,-10.4494,0.5749,0.2422,0.9286,6.761,0
patchtst,sheerm_10,5,116,-2.7051,0.0197,0.0000,0.5320,0.100,0
patchtst,sheerm_11,5,116,-2.5829,0.5426,0.2098,0.9205,5.931,0
patchtst,sheerm_12,5,116,-2.8740,0.0000,0.0000,0.7404,0.000,1
patchtst,sheerm_13,5,116,-1.3011,0.8430,0.6221,0.9793,26.840,0
patchtst,sheerm_2,5,157,-3.3359,0.8257,0.6066,0.9761,23.682,0
patchtst,sheerm_3,5,171,0.3308,0.2443,0.0495,0.7720,1.616,0
patchtst,sheerm_4,5,135,9.3899,0.2178,0.0667,0.7233,1.392,0
patchtst,sheerm_5,5,102,7.7327,0.6210,0.3492,0.9336,8.193,0
patchtst,sheerm_8,5,117,-4.9939,0.3406,0.0538,0.8507,2.582,0
patchtst,sheerm_9,5,116,0.5314,0.4351,0.0220,0.9020,3.852,0
patchtst,ukdale_1,5,218,-4.9006,0.5728,0.2634,0.9257,6.705,0
